"sex","marital","date1a","date2a","act87a","act87b","party","race","bbsmart1","bbsmart2","bbsmart3a","bbsmart3b","bbsmart4","date4a","date4b","stud","snsjob1a","snsjob1b","snsjob1c","snsjob2a","snsjob2b","age","zipcode","educ2","inc"
2,1,2,2,1,NA,3,1,NA,NA,NA,NA,NA,1,1,3,2,2,2,2,2,50,31406,5,99
2,5,NA,NA,NA,NA,2,1,2,2,2,2,9,2,8,3,NA,NA,NA,NA,NA,83,55408,6,7
2,1,2,NA,NA,1,3,1,NA,NA,NA,NA,NA,2,1,3,2,2,2,2,2,48,48416,3,3
1,1,2,NA,NA,2,3,2,2,2,2,2,NA,2,2,3,NA,NA,NA,NA,NA,73,79109,2,6
1,1,2,NA,NA,2,3,1,NA,NA,NA,NA,NA,8,8,3,NA,NA,NA,NA,NA,61,54220,3,6
2,9,1,NA,NA,2,3,1,NA,NA,NA,NA,NA,1,1,3,NA,NA,NA,NA,NA,57,59105,6,2
2,5,NA,NA,NA,NA,1,1,2,2,1,2,1,2,2,3,NA,NA,NA,NA,NA,83,92040,3,2
2,1,2,2,1,NA,3,1,NA,NA,NA,NA,NA,2,2,3,2,2,2,2,2,69,80620,3,6
2,1,NA,NA,NA,NA,3,1,1,2,1,2,4,2,2,3,NA,NA,NA,NA,NA,80,98272,4,4
1,5,NA,NA,NA,NA,2,1,2,2,2,2,6,1,1,3,NA,NA,NA,NA,NA,69,97058,4,2
2,1,2,2,NA,1,1,1,NA,NA,NA,NA,NA,1,8,3,2,2,2,2,2,32,94523,6,8
1,6,2,2,1,NA,8,6,NA,NA,NA,NA,NA,1,1,3,2,2,2,2,2,26,91932,3,2
2,5,2,2,NA,1,1,1,NA,NA,NA,NA,NA,1,1,3,2,2,2,2,2,73,89134,8,4
2,5,NA,NA,NA,NA,4,1,2,2,2,2,NA,2,2,3,NA,NA,NA,NA,NA,87,88011,3,99
1,6,2,NA,NA,2,1,4,NA,NA,NA,NA,NA,1,1,2,NA,NA,NA,NA,NA,30,1420,2,1
2,5,NA,NA,NA,NA,1,1,2,2,2,2,NA,1,1,3,NA,NA,NA,NA,NA,75,14456,3,1
2,1,2,NA,NA,2,8,6,2,2,1,2,NA,2,2,3,NA,NA,NA,NA,NA,66,76426,1,2
2,1,2,2,NA,1,3,1,NA,NA,NA,NA,NA,1,1,3,2,2,2,2,2,55,19341,6,9
2,1,2,2,NA,1,2,1,NA,NA,NA,NA,NA,1,1,3,2,2,2,2,2,59,44092,6,7
2,1,2,NA,1,NA,2,1,NA,NA,NA,NA,NA,2,2,3,2,2,2,2,2,53,14075,6,8
