"player_name","player_api_id","overall_rating","gk_attr_total","games_played","leagues_played"
"Josip Barisic",15456,59,118,4,1
"Amir Spahic",15608,60,115,62,1
"Ivica Dzidic",15652,56,120,1,1
"Davor Landeka",15661,58,66,6,1
"Sulejman Smajic",15662,69,125,29,1
"Ivan Radovanovic",15732,73,129,113,1
"Stanley Aborah",15905,66,62,6,1
"Dimitrija Lazarevski",15913,59,116,2,1
"Jovan Kostovski",15938,66,69,11,1
"Boban Bajkovic",16199,68,344,22,1
"Marko Perovic",16210,70,148,4,1
"Simon Vukcevic",16218,79,150,33,2
"Milan Smiljanic",16230,71,116,11,1
"Dusan Veskovac",16254,70,115,158,2
"Branko Lazarevic",16292,66,53,4,1
"Gojko Kacar",16300,78,145,88,1
"Nikola Nikezic",16323,63,120,2,1
"Aleksandar Kolarov",16351,79,154,157,2
"Andjelko Djuricic",16362,68,344,27,1
"Savo Pavicevic",16368,67,129,17,1
"Mladen Lazarevic",16387,61,127,20,1
"Ivan Stevanovic",16428,65,46,5,1
"Nikola Vukcevic",16475,73,67,15,1
"Pavle Ninkov",16493,71,62,76,1
"Konstantin Vassiljev",16511,71,56,37,1
"Mikhail Sivakov",16636,68,145,14,2
"Anton Putsila",16678,73,160,37,1
"Zlatko Janjic",17233,66,90,1,1
"Marnix Kolder",17259,65,51,46,1
"Aloys Nong",17276,70,111,69,1
"Claude Gnakpa",17296,58,72,2,1
"Carlos Carmona",17299,72,138,16,1
"Anther Yahia",17312,76,137,49,1
"Kenny Deuchar",17319,65,118,28,1
"David Barron",17343,62,127,63,1
"Iain Davidson",17361,61,43,43,1
"Andy Jackson",17391,63,125,10,1
"Martin Canning",17480,65,118,113,1
"Jim McAlister",17525,64,57,87,1
"Chris Millar",17528,63,129,191,1
"Gavin Skelton",17568,63,124,50,1
"Darren McGregor",17600,68,54,80,1
"Liam Buchanan",17606,61,59,14,1
"Stuart Kettlewell",17620,63,41,41,1
"Jeremy Perbet",17703,73,143,84,2
"Gareth Wardlaw",17711,62,56,16,1
"Iain Vigurs",17749,68,58,116,1
"Jacob Mulenga",17761,72,104,79,1
"Ghislain Gimbert",17762,69,120,5,1
"Nassim Akrour",17806,70,136,50,1
"Angelo",17836,72,90,50,1
"Robert Braber",17848,67,54,97,1
"Edouard Duplan",17855,72,137,157,1
"Andrew Reid",17866,78,153,40,1
"Dusan Kuciak",17869,72,358,117,1
"Jordan Loties",17875,74,135,117,2
"Emanuel Obiora Odita 19",17883,65,120,19,1
"Matt Done",17887,64,135,6,1
"Mariano Pavone",18164,77,126,8,1
"Matias Fritzler",18376,68,51,22,1
"Diego Valeri",18384,78,148,4,2
"Leandro Gioda 28",18388,73,111,28,1
"Marcos Aguirre",18395,73,107,5,1
"Pablo Javier Perez",18483,78,62,6,1
"Maximiliano Pellegrino",18500,77,127,35,1
"Hernan Pellerano",18501,74,136,67,1
"Mauro Zarate",18506,84,143,119,2
"Jose Sosa",18518,82,142,22,3
"Marcos Angeleri",18520,76,48,59,1
"Jose Maria Basanta",18521,78,143,23,1
"Loic Loval-Landre",18533,67,149,13,1
"Jose Ze Pedro",18548,74,149,57,1
"Tiago Targino",18549,73,142,55,1
"Ferreira de Matos Alonso",18552,71,137,55,1
"Nicolas Navarro",18558,75,375,18,1
"Lucas Barrios",18576,83,123,92,2
"Cristian Llama",18590,75,149,32,1
"Roman Martinez",18592,70,104,37,1
"Marco Ruben",18628,76,135,73,2
"Pablo Barzola",18636,66,134,44,1
"Federico Almerares",18644,66,140,25,1
"Jose Gustavo Sand",18653,72,65,2,1
"Christian Fernandez",18664,72,142,67,1
"Gustavo Cabral",18673,77,120,130,1
"Jesus Datolo",18705,77,156,14,2
"Pablo Barrientos",18733,79,151,73,1
"Dario Cvitanich",18734,77,150,74,2
"Emiliano Daniel Armenteros",18784,75,146,89,1
"Fernando Gago",18814,80,157,74,2
"Pablo Martin Ledesma",18816,78,205,54,1
"Ezequiel Scarione",18820,76,58,78,1
"Matias Silvestre",18823,80,144,194,1
"Jonathan Bottinelli",18848,73,44,5,1
"Claudio Morel",18853,73,181,14,1
"Mauro Boselli",18859,74,48,12,2
"Nicolas Federico Spolli",18880,80,138,133,1
"David Abraham",18904,77,124,164,3
"Juan Eduardo Eluchans",18913,70,122,16,1
"Carlos Matheu",18923,71,46,14,1
"Ezequiel Lavezzi",18925,86,130,179,2
"Santiago Gentiletti",18945,77,55,38,2
"Dante Adrian Senger",19000,61,52,35,1
"Guillaume Ducatel",19014,60,126,19,1
"Christopher Samba",19020,79,132,124,1
"Rafael Miranda",19232,74,126,91,1
"Diego Costa",19243,86,118,169,2
"Danilo",19249,81,126,174,1
"Evandro Goebel",19264,76,141,59,1
"Dinei",19277,72,92,1,1
"Edivaldo Rojas",19281,65,119,65,1
"Rafael Marques",19285,73,126,27,1
"Thiago Xavier",19297,66,134,28,1
"Edson Sitta",19309,69,49,16,1
"Dyego Rocha Coelho",19310,72,106,3,1
"Miranda",19327,85,139,146,2
"Artur",19344,82,408,112,2
"Jonathan",19352,78,151,51,1
"Fabionn Lopes Patrick",19353,64,134,33,1
"Rodrigo Arroz",19370,67,56,13,1
"Bruno China",19372,71,137,100,2
"Vinicius Pacheco",19380,71,118,5,1
"Diego",19393,73,379,81,1
"Galatto",19403,75,383,5,2
"Claudio Pitbull",19427,73,136,41,1
"Marcelo Boeck",19434,74,368,36,1
"Renan",19435,78,389,54,1
"Edinho",19436,74,158,13,1
